0,2975673294
1,2993666500
2,2975674182
3,2993740820
4,2945707463
5,3009049541
6,2975679220
7,2980161544
8,3006949479
9,2960227536
10,2699218840
11,2975682063
12,2969406940
13,2937686820
14,2959169110
15,2987784229
16,2987376935
17,2971593679
18,2937685936
19,2944241382
20,2909863989
21,2946249270
22,2970230593
23,2963429529
24,2982984293
25,2944244076
26,2946248310
27,2946248310
28,2962437066
29,2872591015
30,2993736016
31,2921943344
32,2997064154
33,2998976775
34,3008354274
35,2950260719
36,2975206235
37,2775981523
38,3013153393
39,3002145925
40,2989189179
41,2924310171
42,2955117980
43,2994396941
